name            ,selector                       ,type        ,unused ,width ,editable ,decimals ,isPill ,align  ,cn ,download ,chart  ,searchable ,detail ,wide ,underField ,onDisplay      ,onAccept ,onValidate
Gas Used        ,gasUsed                        ,gas         ,       ,0     ,true     ,         ,       ,       ,   ,         ,domain ,           ,1      ,     ,           ,               ,         ,
Gas Price       ,gasPrice                       ,wei         ,       ,0     ,true     ,         ,       ,       ,   ,         ,       ,           ,1      ,     ,           ,               ,         ,
Gas Cost (Eth)  ,etherGasCost                   ,ether       ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Age             ,age                            ,blknum      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,1      ,     ,           ,               ,         ,
Encoding        ,encoding                       ,hash        ,       ,0     ,true     ,         ,       ,       ,   ,         ,       ,           ,1      ,     ,           ,               ,         ,
Input           ,input                          ,string      ,       ,0     ,true     ,         ,       ,       ,   ,         ,       ,           ,1      ,     ,           ,               ,         ,
Finalized       ,finalized                      ,bool        ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,1      ,     ,           ,               ,         ,
Price           ,price                          ,double      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,1      ,     ,           ,               ,         ,
Error           ,isError                        ,string      ,       ,0     ,         ,         ,true   ,       ,   ,         ,       ,           ,1      ,     ,           ,               ,         ,
All Details     ,separator6                     ,separator   ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Receipt         ,receipt                        ,CReceipt    ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Articulated Tx  ,articulatedTx                  ,CFunction   ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,true       ,2      ,     ,           ,               ,         ,
Traces          ,traces                         ,CTraceArray ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Events          ,events                         ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Function        ,function                       ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,true       ,2      ,     ,           ,getFieldValue  ,         ,
Block Hash      ,blockHash                      ,hash        ,       ,0     ,true     ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Blk             ,blockNumber                    ,blknum      ,       ,0     ,true     ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Tx              ,transactionIndex               ,string      ,       ,0     ,true     ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Timestamp       ,timestamp                      ,timestamp   ,       ,0     ,true     ,         ,       ,       ,   ,         ,range  ,           ,2      ,     ,           ,               ,         ,
Hash            ,hash                           ,hash        ,       ,0     ,true     ,         ,       ,       ,   ,         ,       ,true       ,2      ,     ,           ,               ,         ,
Nonce           ,nonce                          ,blknum      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Internal        ,internal                       ,string      ,       ,0     ,         ,         ,       ,center ,   ,         ,       ,           ,2      ,     ,           ,getFieldValue  ,         ,
Date Short      ,datesh                         ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Time            ,time                           ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,2      ,     ,           ,               ,         ,
Date            ,accounting.date                ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,10     ,     ,           ,getExportValue ,         ,
Amount          ,accounting.amount              ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,10     ,     ,           ,getExportValue ,         ,
Payee           ,accounting.payee               ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,10     ,     ,           ,getExportValue ,         ,
Description     ,accounting.description         ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,10     ,     ,           ,getExportValue ,         ,
Reference       ,accounting.reference           ,string      ,       ,0     ,         ,         ,       ,       ,   ,         ,       ,           ,10     ,     ,           ,getExportValue ,         ,
